                   labx  laby   finix finiy
cabeza             123    80      71    60  
tórax              271    80     191    60  
abdomen            692    80     360    60  
'ojo compuesto'    120   331     157   423
antena              80   528     116   430
'piezas bucales'   104   583     153   513 
notos              640   315     639   439 
ala                758   242     554   261 
esternos           645   602     505   474
patas              340   639     227   579
pleuras            331   587     285   458
espiráculos        737   318     686   455

